Campaign,age,gender,interest,Impressions,Clicks,Spent,Approved_Conversion,Product
S,30,1,15,7350,1,1.429999948,1,Lightning Charging Cable
Q,30,1,16,17861,2,1.820000023,0,LG Washing Machine
P,30,1,20,693,0,0,0,Vareebadd Phone
G,30,1,28,4259,1,1.25,0,Wired Headphones
K,30,1,28,4133,1,1.289999962,1,34in Ultrawide Monitor
N,30,1,29,1915,0,0,1,ThinkPad Laptop
S,30,1,15,15615,3,4.769999981,0,Lightning Charging Cable
L,30,1,16,10951,1,1.269999981,1,Google Phone
R,30,1,27,2355,1,1.5,0,LG Dryer
M,30,1,28,9502,3,3.159999967,0,Flatscreen TV
H,30,1,31,1224,0,0,0,Bose SoundSport Headphones
C,30,1,7,735,0,0,0,Apple Airpods Headphones
R,30,1,16,5117,0,0,0,LG Dryer
M,30,1,16,5120,0,0,0,Flatscreen TV
A,30,1,20,14669,7,10.28000021,1,iPhone
G,30,1,28,1241,0,0,1,Wired Headphones
I,30,1,30,2305,1,0.569999993,0,27in FHD Monitor
L,30,1,31,1024,0,0,1,Google Phone
C,35,1,15,4627,1,1.690000057,0,Apple Airpods Headphones
K,35,1,16,21026,4,4.630000114,1,34in Ultrawide Monitor
J,35,1,15,1422,0,0,1,27in 4K Gaming Monitor
B,35,1,15,7132,2,2.609999895,0,Macbook Pro Laptop
O,35,1,16,12190,2,3.049999952,0,20in Monitor
M,35,1,16,12193,2,3.059999943,1,Flatscreen TV
F,35,1,16,3332,0,0,1,AAA Batteries (4-pack)
J,35,1,7,559,0,0,0,27in 4K Gaming Monitor
K,35,1,29,7440,2,2.980000019,1,34in Ultrawide Monitor
I,40,1,16,19113,4,5.5200001,0,27in FHD Monitor
O,40,1,16,10976,2,1.690000057,1,20in Monitor
D,40,1,16,2861,0,0,0,USB-C Charging Cable
N,40,1,15,1398,0,0,1,ThinkPad Laptop
P,40,1,16,23817,7,8.470000148,1,Vareebadd Phone
N,45,1,16,47224,12,15.82000017,0,ThinkPad Laptop
B,45,1,24,2283,1,1.470000029,0,Macbook Pro Laptop
R,45,1,21,2182,1,1.529999971,1,LG Dryer
H,30,0,16,2654,0,0,1,Bose SoundSport Headphones
C,30,0,16,57665,14,18.06999969,1,Apple Airpods Headphones
L,30,0,32,3091,1,1.610000014,1,Google Phone
L,30,0,15,5014,1,1.190000057,0,Google Phone
P,30,0,16,38726,7,9.220000267,0,Vareebadd Phone
