ad_id,Campaign,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
708746,S,103916,30-34,M,15,7350,1,1.429999948,2,1
708749,Q,103917,30-34,M,16,17861,2,1.820000023,2,0
708771,P,103920,30-34,M,20,693,0,0,1,0
708815,G,103928,30-34,M,28,4259,1,1.25,1,0
708818,K,103928,30-34,M,28,4133,1,1.289999962,1,1
708820,N,103929,30-34,M,29,1915,0,0,1,1
708889,S,103940,30-34,M,15,15615,3,4.769999981,1,0
708895,L,103941,30-34,M,16,10951,1,1.269999981,1,1
708953,R,103951,30-34,M,27,2355,1,1.5,1,0
708958,M,103952,30-34,M,28,9502,3,3.159999967,1,0
708979,H,103955,30-34,M,31,1224,0,0,1,0
709023,C,103962,30-34,M,7,735,0,0,1,0
709038,R,103965,30-34,M,16,5117,0,0,1,0
709040,M,103965,30-34,M,16,5120,0,0,1,0
709059,A,103968,30-34,M,20,14669,7,10.28000021,1,1
709105,G,103976,30-34,M,28,1241,0,0,1,1
709115,I,103978,30-34,M,30,2305,1,0.569999993,1,0
709124,L,103979,30-34,M,31,1024,0,0,1,1
709179,C,103988,35-39,M,15,4627,1,1.690000057,1,0
709183,K,103989,35-39,M,16,21026,4,4.630000114,2,1
709320,J,104012,35-39,M,15,1422,0,0,1,1
709323,B,104012,35-39,M,15,7132,2,2.609999895,1,0
709326,O,104013,35-39,M,16,12190,2,3.049999952,1,0
709327,M,104013,35-39,M,16,12193,2,3.059999943,1,1
709328,F,104013,35-39,M,16,3332,0,0,1,1
709455,J,104034,35-39,M,7,559,0,0,1,0
709544,K,104049,35-39,M,29,7440,2,2.980000019,1,1
709614,I,104061,40-44,M,16,19113,4,5.5200001,1,0
709756,O,104085,40-44,M,16,10976,2,1.690000057,1,1
709761,D,104085,40-44,M,16,2861,0,0,1,0
709899,N,104108,40-44,M,15,1398,0,0,1,1
709901,P,104109,40-44,M,16,23817,7,8.470000148,1,1
710045,N,104133,45-49,M,16,47224,12,15.82000017,1,0
710088,B,104140,45-49,M,24,2283,1,1.470000029,1,0
710360,R,104185,45-49,M,21,2182,1,1.529999971,1,1
710477,H,104205,30-34,F,16,2654,0,0,1,1
710480,C,104205,30-34,F,16,57665,14,18.06999969,1,1
710571,L,104220,30-34,F,32,3091,1,1.610000014,1,1
710617,L,104228,30-34,F,15,5014,1,1.190000057,1,0
710623,P,104229,30-34,F,16,38726,7,9.220000267,1,0
710628,E,104230,30-34,F,18,1473,0,0,1,0
710682,P,104239,30-34,F,27,1186,0,0,1,0
710763,M,104252,30-34,F,15,5369,1,1.50999999,1,0
710836,G,104265,30-34,F,29,22221,7,9.430000067,1,1
710867,M,104270,30-34,F,63,1185,0,0,1,0
710880,D,104272,30-34,F,65,13019,5,6.960000038,1,0
710961,K,104285,35-39,F,25,2508,1,1.220000029,1,0
710968,Q,104287,35-39,F,27,5864,2,2.799999952,1,1
711217,S,104328,35-39,F,20,2783,1,1.600000024,1,0
711623,F,104396,40-44,F,15,3812,1,1.129999995,2,1
711764,R,104419,45-49,F,10,11199,4,5.730000019,1,1
711785,H,104423,45-49,F,19,292,0,0,1,0
711877,R,104438,45-49,F,63,17572,7,9.379999995,1,0
712052,A,104467,45-49,F,10,1448,0,0,1,1
734209,B,108654,30-34,M,10,1772,0,0,1,1
734210,H,108654,30-34,M,10,13329,4,5.629999995,1,1
734215,C,108655,30-34,M,15,13659,3,3.840000033,1,0
734243,C,108660,30-34,M,21,739,0,0,1,1
734266,A,108664,30-34,M,25,605,0,0,1,0
734272,D,108665,30-34,M,26,1030,0,0,1,0
